date,time,home_team,home_score,away_team,away_score,margin
2025-04-17,18:30,SSG,4.0,한화,2.0,2.0
2025-04-17,18:30,롯데,7.0,키움,1.0,6.0
2025-04-17,18:30,NC,,두산,,
2025-04-17,18:30,KIA,5.0,KT,4.0,1.0
2025-04-18,18:30,두산,7.0,KIA,1.0,6.0
2025-04-18,18:30,SSG,5.0,LG,1.0,4.0
2025-04-18,18:30,삼성,8.0,롯데,1.0,7.0
2025-04-18,18:30,키움,4.0,KT,3.0,1.0
2025-04-18,18:30,한화,12.0,NC,4.0,8.0
2025-04-19,14:00,두산,8.0,KIA,4.0,4.0
2025-04-19,14:00,SSG,11.0,LG,4.0,7.0
2025-04-19,17:00,삼성,10.0,롯데,3.0,7.0
2025-04-19,17:00,키움,11.0,KT,1.0,10.0
2025-04-19,17:00,한화,7.0,NC,2.0,5.0
2025-04-20,14:00,두산,6.0,KIA,2.0,4.0
2025-04-20,14:00,SSG,9.0,LG,3.0,6.0
2025-04-20,14:00,삼성,4.0,롯데,3.0,1.0
2025-04-20,14:00,키움,5.0,KT,0.0,5.0
2025-04-20,14:00,한화,7.0,NC,1.0,6.0
2025-04-22,18:30,LG,6.0,NC,5.0,1.0
2025-04-22,18:30,롯데,,한화,,
2025-04-22,18:30,삼성,,KIA,,
2025-04-22,18:30,KT,9.0,SSG,3.0,6.0
2025-04-22,18:30,키움,5.0,두산,4.0,1.0
2025-04-23,18:30,LG,3.0,NC,0.0,3.0
2025-04-23,18:30,롯데,6.0,한화,4.0,2.0
2025-04-23,18:30,삼성,7.0,KIA,2.0,5.0
2025-04-23,18:30,KT,11.0,SSG,5.0,6.0
2025-04-23,18:30,키움,8.0,두산,2.0,6.0
2025-04-24,18:30,LG,3.0,NC,1.0,2.0
2025-04-24,18:30,롯데,5.0,한화,3.0,2.0
2025-04-24,18:30,삼성,17.0,KIA,5.0,12.0
2025-04-24,18:30,KT,6.0,SSG,5.0,1.0
2025-04-24,18:30,키움,9.0,두산,3.0,6.0
2025-04-25,18:30,두산,8.0,롯데,2.0,6.0
2025-04-25,18:30,SSG,4.0,키움,3.0,1.0
2025-04-25,18:30,삼성,10.0,NC,6.0,4.0
2025-04-25,18:30,KIA,6.0,LG,5.0,1.0
2025-04-25,18:30,한화,2.0,KT,1.0,1.0
2025-04-26,14:00,두산,7.0,롯데,4.0,3.0
2025-04-26,14:00,KIA,8.0,LG,4.0,4.0
2025-04-26,17:00,SSG,2.0,키움,1.0,1.0
2025-04-26,17:00,삼성,9.0,NC,1.0,8.0
2025-04-26,17:00,한화,2.0,KT,1.0,1.0
2025-04-27,14:00,두산,13.0,롯데,4.0,9.0
2025-04-27,14:00,SSG,7.0,키움,3.0,4.0
2025-04-27,14:00,삼성,8.0,NC,4.0,4.0
2025-04-27,14:00,KIA,3.0,LG,2.0,1.0
2025-04-27,14:00,한화,4.0,KT,3.0,1.0
2025-04-29,18:30,두산,3.0,KT,2.0,1.0
2025-04-29,18:30,SSG,3.0,삼성,1.0,2.0
2025-04-29,18:30,KIA,13.0,NC,3.0,10.0
2025-04-29,18:30,키움,9.0,롯데,3.0,6.0
2025-04-29,18:30,한화,3.0,LG,2.0,1.0
2025-04-30,18:30,두산,8.0,KT,3.0,5.0
2025-04-30,18:30,SSG,,삼성,,
2025-04-30,18:30,KIA,7.0,NC,0.0,7.0
2025-04-30,18:30,키움,10.0,롯데,9.0,1.0
2025-04-30,18:30,한화,5.0,LG,2.0,3.0
2025-05-01,18:30,두산,,KT,,
2025-05-01,18:30,SSG,4.0,삼성,1.0,3.0
2025-05-01,18:30,KIA,,NC,,
2025-05-01,18:30,키움,5.0,롯데,0.0,5.0
2025-05-01,18:30,한화,,LG,,
2025-05-02,18:30,LG,2.0,SSG,1.0,1.0
2025-05-02,18:30,롯데,4.0,NC,3.0,1.0
2025-05-02,18:30,삼성,6.0,두산,2.0,4.0
2025-05-02,18:30,KT,5.0,키움,3.0,2.0
2025-05-02,18:30,KIA,3.0,한화,2.0,1.0
2025-05-03,14:00,KIA,,한화,,
2025-05-03,17:00,LG,4.0,SSG,1.0,3.0
2025-05-03,17:00,롯데,13.0,NC,4.0,9.0
2025-05-03,17:00,삼성,6.0,두산,1.0,5.0
2025-05-03,17:00,KT,9.0,키움,0.0,9.0
2025-05-04,14:00,LG,12.0,SSG,4.0,8.0
2025-05-04,14:00,롯데,9.0,NC,6.0,3.0
2025-05-04,14:00,삼성,11.0,두산,6.0,5.0
2025-05-04,14:00,KT,5.0,키움,4.0,1.0
2025-05-04,14:00,KIA,3.0,한화,1.0,2.0
2025-05-05,14:00,두산,5.0,LG,2.0,3.0
2025-05-05,14:00,롯데,7.0,SSG,1.0,6.0
2025-05-05,14:00,KT,6.0,NC,2.0,4.0
2025-05-05,14:00,키움,13.0,KIA,1.0,12.0
2025-05-05,14:00,한화,3.0,삼성,1.0,2.0
2025-05-06,14:00,두산,5.0,LG,1.0,4.0
2025-05-06,14:00,롯데,6.0,SSG,0.0,6.0
2025-05-06,14:00,KT,6.0,NC,3.0,3.0
2025-05-06,14:00,키움,5.0,KIA,3.0,2.0
2025-05-06,14:00,한화,3.0,삼성,1.0,2.0
2025-05-07,18:30,두산,5.0,LG,2.0,3.0
2025-05-07,18:30,롯데,6.0,SSG,2.0,4.0
2025-05-07,18:30,KT,12.0,NC,2.0,10.0
2025-05-07,18:30,키움,11.0,KIA,10.0,1.0
2025-05-07,18:30,한화,10.0,삼성,6.0,4.0
2025-05-09,18:30,두산,,NC,,
2025-05-09,18:30,SSG,,KIA,,
2025-05-09,18:30,삼성,,LG,,
2025-05-09,18:30,KT,,롯데,,
2025-05-09,18:30,키움,7.0,한화,5.0,2.0
2025-05-10,14:00,키움,9.0,한화,1.0,8.0
2025-05-10,14:00,두산,,NC,,
2025-05-10,14:00,SSG,,KIA,,
2025-05-10,14:00,삼성,5.0,LG,4.0,1.0
2025-05-10,14:00,KT,,롯데,,
2025-05-10,17:00,두산,,NC,,
2025-05-10,17:00,SSG,5.0,KIA,4.0,1.0
2025-05-10,17:00,KT,8.0,롯데,5.0,3.0
2025-05-10,17:00,삼성,4.0,LG,1.0,3.0
2025-05-11,14:00,삼성,7.0,LG,4.0,3.0
2025-05-11,14:00,키움,8.0,한화,0.0,8.0
2025-05-11,14:00,두산,11.0,NC,5.0,6.0
2025-05-11,14:00,SSG,8.0,KIA,4.0,4.0
2025-05-11,14:00,KT,6.0,롯데,1.0,5.0
2025-05-11,17:00,두산,5.0,NC,2.0,3.0
2025-05-11,17:00,SSG,5.0,KIA,1.0,4.0
2025-05-11,17:00,KT,,롯데,,
2025-05-13,18:30,LG,9.0,키움,6.0,3.0
2025-05-13,18:30,SSG,6.0,NC,3.0,3.0
2025-05-13,18:30,KIA,4.0,롯데,1.0,3.0
2025-05-13,18:30,한화,4.0,두산,3.0,1.0
2025-05-13,18:30,삼성,5.0,KT,3.0,2.0
2025-05-14,18:30,LG,12.0,키움,0.0,12.0
2025-05-14,18:30,SSG,6.0,NC,3.0,3.0
2025-05-14,18:30,KIA,4.0,롯데,0.0,4.0
2025-05-14,18:30,한화,7.0,두산,1.0,6.0
2025-05-14,18:30,삼성,3.0,KT,2.0,1.0
2025-05-15,18:30,LG,6.0,키움,2.0,4.0
2025-05-15,18:30,SSG,4.0,NC,0.0,4.0
2025-05-15,18:30,KIA,7.0,롯데,6.0,1.0
2025-05-15,18:30,한화,8.0,두산,2.0,6.0
2025-05-15,18:30,삼성,13.0,KT,0.0,13.0
2025-05-16,18:30,LG,,KT,,
2025-05-16,18:30,롯데,,삼성,,
2025-05-16,18:30,KIA,,두산,,
2025-05-16,18:30,한화,,SSG,,
2025-05-16,18:30,NC,,키움,,
2025-05-17,14:00,LG,12.0,KT,4.0,8.0
2025-05-17,14:00,롯데,7.0,삼성,5.0,2.0
2025-05-17,14:00,KIA,5.0,두산,2.0,3.0
2025-05-17,14:00,한화,1.0,SSG,0.0,1.0
2025-05-17,14:00,NC,3.0,키움,2.0,1.0
2025-05-17,17:00,LG,7.0,KT,6.0,1.0
2025-05-17,17:00,롯데,8.0,삼성,7.0,1.0
2025-05-17,17:00,KIA,4.0,두산,1.0,3.0
2025-05-17,17:00,한화,5.0,SSG,2.0,3.0
2025-05-17,17:00,NC,3.0,키움,2.0,1.0
2025-05-18,14:00,LG,5.0,KT,1.0,4.0
2025-05-18,14:00,롯데,6.0,삼성,3.0,3.0
2025-05-18,14:00,KIA,5.0,두산,4.0,1.0
2025-05-18,14:00,한화,7.0,SSG,3.0,4.0
2025-05-18,14:00,NC,5.0,키움,0.0,5.0
2025-05-20,18:30,두산,5.0,SSG,3.0,2.0
2025-05-20,18:30,롯데,17.0,LG,9.0,8.0
2025-05-20,18:30,KT,5.0,KIA,3.0,2.0
2025-05-20,18:30,키움,6.0,삼성,3.0,3.0
2025-05-20,18:30,NC,4.0,한화,1.0,3.0
2025-05-21,18:30,두산,9.0,SSG,1.0,8.0
2025-05-21,18:30,롯데,,LG,,
2025-05-21,18:30,KT,3.0,KIA,1.0,2.0
2025-05-21,18:30,키움,6.0,삼성,1.0,5.0
2025-05-21,18:30,NC,5.0,한화,2.0,3.0
2025-05-22,18:30,두산,6.0,SSG,5.0,1.0
2025-05-22,18:30,롯데,11.0,LG,4.0,7.0
2025-05-22,18:30,KT,8.0,KIA,3.0,5.0
2025-05-22,18:30,키움,2.0,삼성,0.0,2.0
2025-05-22,18:30,NC,4.0,한화,3.0,1.0
2025-05-23,18:30,두산,,NC,,
2025-05-23,18:30,SSG,3.0,LG,2.0,1.0
